year,n_rows,n_countries,trust_mean,trust_median,trust_q25,trust_q75,threat_mean,threat_median,threat_q25,threat_q75
1990,150,150,0.35259129400576694,0.3346404485196163,0.24552904514842586,0.43928386902866023,0.12865178319971052,0.10191606974961284,0.03383046998172659,0.19046153146246875
1991,159,159,0.3701584082932092,0.3554899127803396,0.26146412538215613,0.4669925550714934,0.10285725958644386,0.06857897662522087,0.01594673100467535,0.16057900499385958
1992,166,166,0.33965073316743233,0.3233724907395167,0.21305274666556026,0.45566160040299414,0.09989090970418638,0.08169669873835962,0.01591051395549964,0.1543439371237932
1993,175,175,0.3493413901495691,0.3377171164578407,0.23018187302219423,0.4356116001920204,0.11060680999779574,0.07942881476024852,0.018102538614463558,0.16826908631944118
1994,178,178,0.35503690960459466,0.350141366140869,0.22738582641304866,0.45033067120213227,0.1167944223344582,0.08762571708052597,0.016072217423589594,0.17331882143929445
1995,172,172,0.35164478164199076,0.3513382384405348,0.25203305141346377,0.439003095884813,0.12705225711953236,0.09790949338531285,0.02702866425372848,0.19609633097897022
1996,181,181,0.3459052879983463,0.32337062070671385,0.21668654124525918,0.44815411380705433,0.15586217181502152,0.14024744302706604,0.061258920815953286,0.21679805971505184
1997,176,176,0.3225355631647091,0.3123663479628124,0.21026992498752656,0.4309271700024344,0.12807609404387124,0.10318442925430125,0.014550129247051766,0.20657260545455433
1998,180,180,0.2974990791835427,0.27309847791126396,0.17399544174422857,0.3786037679884966,0.15734319719062073,0.1341899787640929,0.04132898573770273,0.22172076807920996
1999,180,180,0.3265974431270346,0.32218829071832544,0.20118568876717585,0.4288581623785809,0.11773617962065246,0.08918835781318796,0.01423644007967158,0.16826889754196886
2000,177,177,0.3414550253714047,0.3264912042639645,0.2075450269350436,0.4505782383702745,0.10184879515536409,0.04812971252119313,0.010744486814456666,0.1705174413318733
2001,187,187,0.2679461048588652,0.24394483766740277,0.12858307969224522,0.35080525737397794,0.10783498118902625,0.04896488647255566,0.017546368535741895,0.18017113795999373
2002,186,186,0.3488450956978862,0.3256695325519855,0.2114868252773841,0.4839235568110185,0.1293338276695581,0.08260236837234909,0.01844430353289353,0.21133438550874417
2003,187,187,0.3300346984832051,0.3020406187002742,0.1880097729505522,0.4564756801191889,0.13015349469813314,0.06956910321534139,0.02347987912817607,0.2121219901657529
2004,189,189,0.3322133591885943,0.2990278422083546,0.18667216897151556,0.4513669699891986,0.10770686346242192,0.05676702150620001,0.019071391226792207,0.171110344097737
2005,182,182,0.33480986328971196,0.33252418410647666,0.19352612389200496,0.44129015544774297,0.091005119895035,0.036588921196885005,0.011523278481598388,0.15793239278693616
2006,191,191,0.3432292934492118,0.3234391065792937,0.21572558640945244,0.4535185417548006,0.0937465520293103,0.03862608352324134,0.007615822161312979,0.16559203489680743
2007,189,189,0.32608384032307347,0.28552363280172194,0.18501971128233508,0.46082497646136555,0.07941466019710515,0.029859128912112575,0.004977537855486142,0.12825993053040047
2008,190,190,0.3183804159769889,0.3074259042682861,0.16919098476392616,0.42568921913278646,0.06424746504231395,0.013937985195960387,0.002628950856095321,0.07983636995153393
2009,191,191,0.3194949111583815,0.3076655934199361,0.1756338587136762,0.43557641136497,0.10419907642270401,0.061679482222063896,0.009621298467477637,0.17470975140577133
2010,187,187,0.3490519444373142,0.33472048968618984,0.20244646668175775,0.4977370196668468,0.10238306435161132,0.03156915439725102,0.005563800403336721,0.18011943840565545
2011,191,191,0.3248886556810311,0.32610401934941013,0.20158675943229928,0.4407668980066216,0.06648032342286492,0.021794933723725568,0.0080157298480985,0.10095636661355165
2012,192,192,0.2947418395668423,0.2707429842855388,0.15790368917043723,0.425866674604823,0.07353714145414453,0.027461555638930324,0.007181402035374545,0.09951701311408975
2013,190,190,0.279057991595351,0.2502978111856172,0.13992157342039058,0.38254627134526,0.09187994822362999,0.04259411510882652,0.012883822819322181,0.1398932042648624
2014,191,191,0.27059229599919415,0.23796908053175014,0.13931965457816342,0.3804050073023076,0.09738202609876256,0.0354912325954871,0.012915726820406443,0.1432105588034799
2015,190,190,0.31350066191417575,0.30115331151652636,0.18675538148519738,0.4216803558585204,0.08648200356031961,0.02593460484034934,0.009700810224037813,0.12146892426340601
2016,191,191,0.28668494723235627,0.2632675359583103,0.15392816725235386,0.38790899362243214,0.08577400707505066,0.027700368102527927,0.006399802659965383,0.11480733906463836
2017,193,193,0.3057033933375839,0.27785732962434245,0.16291991352452345,0.4357803770797968,0.12903613279895645,0.06716739737035562,0.01470847942985596,0.19649716563820668
2018,193,193,0.3656872164175318,0.34045517113485096,0.19652925315794523,0.5147282100382053,0.07340218772053606,0.02307410866016096,0.006738327236582052,0.10756055172949651
2019,192,192,0.32000095926035993,0.2962049536078451,0.1987079963021589,0.41672466497933663,0.07787270773737054,0.02147448426920309,0.006119516832099905,0.12804796884424774
2020,190,190,0.37619884105439405,0.3737381378614089,0.23405480350591945,0.48697140448126797,0.05749542034717826,0.010571199452192545,0.00317060181943676,0.05315616402943761
2021,191,191,0.31603590075679855,0.29124898006408706,0.1894035736465272,0.409734268400122,0.05749847778168122,0.015508801007608371,0.0031499550673134567,0.06858980091724105
2022,190,190,0.31691088353169766,0.28608800072890384,0.16949029635161164,0.4448939676038842,0.1175930073889461,0.05362274997180273,0.011766648062298013,0.17533384892510864
2023,189,189,0.350476807991531,0.35151396905798993,0.21836393010174188,0.477261567604297,0.09172463549938613,0.029387673934915023,0.006825819631502817,0.15230118415507965
2024,189,189,0.27205797961107325,0.25328482295723725,0.1471391550250317,0.35893013070964613,0.10125416125741199,0.03771817054297212,0.0101567204004993,0.16022350562114138
